observation;ad_spend;price;seasonality;inventory;interest_rate;demand
1;55,0000;20,5000;0,0000;92,0000;6,6000;79,1796
2;57,7582;20,5776;0,0768;94,8096;6,5995;83,4890
3;60,5128;20,6506;0,1532;97,6184;6,5980;83,0830
4;63,2600;20,7188;0,2287;100,4257;6,5954;85,5331
5;65,9963;20,7823;0,3029;103,2308;6,5918;90,4050
6;68,7181;20,8412;0,3752;106,0330;6,5872;90,5535
7;71,4219;20,8954;0,4453;108,8315;6,5816;91,3259
8;74,1041;20,9451;0,5128;96,9256;6,5750;95,6065
9;76,7614;20,9903;0,5773;99,7146;6,5674;97,3686
10;64,0905;21,0310;0,6383;102,4977;6,5588;90,1600
11;66,6881;21,0674;0,6956;105,2743;6,5492;94,9469
12;69,2512;20,2195;0,7487;108,0437;6,5386;98,2399
13;71,7767;20,2474;0,7975;110,8050;6,5270;97,7104
14;74,2618;20,2712;0,8415;113,5578;6,5145;100,8481
15;76,7039;20,2910;0,8805;101,6012;6,5010;104,3233
16;79,1002;20,3069;0,9143;104,3346;6,4865;103,5928
17;81,4485;20,3191;0,9427;107,0574;6,4711;104,3486
18;83,7465;20,3276;0,9656;109,7689;6,4548;108,4782
19;70,6920;20,3327;0,9827;112,4684;6,4376;101,4865
20;72,8833;20,3344;0,9940;115,1554;6,4194;100,3555
21;75,0186;20,3329;0,9995;117,8292;6,4004;103,8884
22;77,0964;20,3284;0,9990;105,7893;6,3805;104,2316
23;79,1154;19,4409;0,9926;108,4350;6,3597;102,0655
24;81,0745;19,4308;0,9804;111,0658;6,3381;104,5903
25;82,9729;19,4180;0,9623;113,6811;6,3157;107,3957
26;84,8097;19,4030;0,9386;116,2804;6,2924;105,5875
27;86,5846;19,3857;0,9093;118,8632;6,2683;106,5195
28;72,9973;19,3664;0,8746;121,4290;6,2435;103,3924
29;74,6477;19,3452;0,8348;109,2772;6,2179;101,2591
30;76,2360;19,3225;0,7900;111,8075;6,1915;100,1243
31;77,7627;19,2983;0,7406;114,3194;6,1645;103,1235
32;79,2282;19,2728;0,6867;116,8124;6,1367;102,5992
33;80,6334;19,2463;0,6288;119,2861;6,1082;99,6521
34;81,9794;18,3390;0,5672;121,7402;6,0791;101,1898
35;83,2674;18,3110;0,5023;124,1743;6,0494;101,8421
36;84,4987;18,2826;0,4343;111,8880;6,0190;97,4524
37;70,3750;18,2539;0,3638;114,2810;5,9880;90,9780
38;71,4981;18,2253;0,2912;116,6530;5,9564;93,0886
39;72,5701;18,1968;0,2168;119,0037;5,9243;90,5122
40;73,5930;18,1687;0,1411;121,3329;5,8917;89,5503
41;74,5693;18,1411;0,0646;123,6403;5,8585;92,4165
42;75,5013;18,1144;-0,0123;125,9258;5,8249;91,2272
43;76,3919;18,0887;-0,0891;113,4890;5,7908;87,9055
44;77,2438;18,0641;-0,1653;115,7298;5,7563;90,1859
45;78,0598;17,1610;-0,2406;117,9482;5,7214;90,1995
46;63,5432;17,1394;-0,3145;120,1439;5,6861;79,6200
47;64,2970;17,1196;-0,3865;122,3169;5,6504;80,3622
48;65,0245;17,1018;-0,4563;124,4671;5,6144;81,5261
49;65,7291;17,0861;-0,5233;126,5945;5,5781;78,0156
50;66,4142;17,0728;-0,5872;113,9989;5,5416;76,1709
51;67,0834;17,0620;-0,6477;116,0805;5,5048;78,4006
52;67,7402;17,0538;-0,7043;118,1392;5,4677;76,2659
53;68,3881;17,0485;-0,7568;120,1751;5,4305;74,4477
54;69,0310;17,0462;-0,8048;122,1882;5,3931;77,3332
55;54,3723;17,0471;-0,8480;124,1786;5,3555;69,7202
56;55,0158;16,1713;-0,8862;126,1465;5,3179;67,4764
57;55,6652;16,1789;-0,9192;113,3920;5,2802;68,8956
58;56,3240;16,1901;-0,9468;115,3152;5,2424;70,6667
59;56,9958;16,2051;-0,9687;117,2163;5,2045;68,1445
60;57,6843;16,2239;-0,9849;119,0956;5,1667;69,0710
61;58,3929;16,2467;-0,9953;120,9532;5,1289;71,8296
62;59,1251;16,2735;-0,9998;122,7894;5,0911;69,7660
63;59,8841;16,3045;-0,9984;124,6045;5,0534;69,0074
64;45,3733;16,3398;-0,9911;111,6989;5,0159;62,9401
65;46,1958;16,3794;-0,9779;113,4727;4,9784;62,5155
66;47,0546;16,4234;-0,9589;115,2263;4,9412;60,9731
67;47,9527;15,5919;-0,9343;116,9602;4,9041;64,5684
68;48,8928;15,6450;-0,9041;118,6746;4,8672;66,4733
69;49,8776;15,7027;-0,8686;120,3701;4,8306;65,0567
70;50,9094;15,7650;-0,8280;122,0469;4,7942;68,0459
71;51,9907;15,8320;-0,7824;109,0056;4,7582;70,7298
72;53,1236;15,9037;-0,7323;110,6466;4,7224;69,9063
73;39,0100;15,9802;-0,6778;112,2704;4,6870;62,6876
74;40,2517;16,0613;-0,6193;113,8774;4,6520;67,4097
75;41,5504;16,1472;-0,5571;115,4683;4,6174;67,5713
76;42,9073;16,2378;-0,4916;117,0434;4,5832;67,4998
77;44,3236;16,3330;-0,4233;118,6035;4,5495;71,9550
78;45,8005;15,5530;-0,3524;105,4489;4,5162;72,3879
79;47,3385;15,6575;-0,2794;106,9804;4,4834;71,3659
80;48,9384;15,7667;-0,2048;108,4985;4,4512;75,1281
81;50,6004;15,8803;-0,1290;110,0038;4,4195;78,6162
82;37,0246;15,9985;-0,0524;111,4968;4,3884;68,9804
83;38,8111;16,1210;0,0245;112,9784;4,3579;72,0094
84;40,6594;16,2478;0,1013;114,4490;4,3279;77,3034
85;42,5690;16,3788;0,1774;101,2094;4,2987;76,6083
86;44,5394;16,5140;0,2525;102,6603;4,2700;78,2434
87;46,5694;16,6532;0,3261;104,1022;4,2421;83,8709
88;48,6580;16,7963;0,3978;105,5359;4,2149;85,6076
89;50,8038;16,0632;0,4671;106,9620;4,1883;85,6446
90;53,0053;16,2137;0,5337;108,3813;4,1626;90,2165
91;39,9607;16,3678;0,5971;109,7946;4,1375;84,3179
92;42,2682;16,5252;0,6570;96,5024;4,1133;82,0881
93;44,6256;16,6859;0,7130;97,9055;4,0898;85,2188
94;47,0306;16,8497;0,7648;99,3046;4,0672;89,3265
95;49,4809;17,0164;0,8120;100,7006;4,0454;88,7139
96;51,9738;17,1859;0,8545;102,0940;4,0244;90,3447
97;54,5065;17,3579;0,8919;103,4857;4,0043;95,3731
98;57,0762;17,5324;0,9240;104,8763;3,9850;96,0917
99;59,6799;17,7092;0,9506;91,5667;3,9667;95,0184
100;47,0145;17,0080;0,9717;92,9575;3,9492;91,8352
101;49,6767;17,1886;0,9870;94,3495;3,9327;94,1330
102;52,3632;17,3710;0,9964;95,7434;3,9171;93,3799
103;55,0705;17,5549;1,0000;97,1400;3,9024;96,9674
104;57,7953;17,7400;0,9976;98,5400;3,8887;100,0879
105;60,5339;17,9263;0,9894;99,9441;3,8759;98,4911
106;63,2828;18,1134;0,9753;86,6530;3,8641;98,3843
107;66,0383;18,3012;0,9554;88,0675;3,8533;101,9003
108;68,7968;18,4896;0,9299;89,4883;3,8434;100,5916
109;56,2546;18,6782;0,8988;90,9160;3,8346;92,5715
110;59,0081;18,8668;0,8625;92,3515;3,8267;96,4121
111;61,7535;18,1754;0,8210;93,7953;3,8199;96,6069
112;64,4874;18,3636;0,7747;95,2482;3,8140;95,1472
113;67,2061;18,5513;0,7239;82,0108;3,8092;97,0507
114;69,9061;18,7383;0,6687;83,4838;3,8054;99,0299
115;72,5840;18,9243;0,6096;84,9679;3,8026;97,0643
116;75,2363;19,1092;0,5469;86,4636;3,8008;98,9217
117;77,8598;19,2927;0,4809;87,9716;3,8000;101,8299
118;65,1512;19,4747;0,4121;89,4926;3,8003;92,7282
119;67,7075;19,6549;0,3409;91,0271;3,8016;92,4634
120;70,2258;19,8333;0,2676;77,8758;3,8039;94,0072
121;72,7031;20,0095;0,1928;79,4391;3,8072;92,5931
122;75,1368;19,3035;0,1168;81,0177;3,8116;90,2356
123;77,5244;19,4750;0,0402;82,6121;3,8169;92,7483
124;79,8635;19,6438;-0,0368;84,2228;3,8233;92,8415
125;82,1519;19,8099;-0,1134;85,8503;3,8307;89,9923
126;84,3875;19,9730;-0,1895;87,4952;3,8391;91,7868
127;71,2685;20,1329;-0,2643;74,4579;3,8484;85,5930
128;73,3932;20,2896;-0,3377;76,1388;3,8588;83,2313
129;75,4602;20,4429;-0,4090;77,8384;3,8701;83,8863
130;77,4681;20,5926;-0,4779;79,5571;3,8824;87,0920
131;79,4160;20,7386;-0,5440;81,2953;3,8957;85,5450
132;81,3030;20,8808;-0,6069;83,0534;3,9099;84,4220
133;83,1283;20,1390;-0,6662;84,8317;3,9251;87,2001
134;84,8917;20,2733;-0,7215;71,9306;3,9412;85,2586
135;86,5928;20,4033;-0,7726;73,7504;3,9582;82,5952
136;72,9316;20,5292;-0,8191;75,5913;3,9762;78,0031
137;74,5084;20,6507;-0,8608;77,4537;3,9950;79,0162
